web-scraper-order	web-scraper-start-url	No#	Logo	Name	Symbol	CPI	Facebook	Twitter	Price	Market Cap	FB + TWITTER
1522070254-337	http://socoin.app2web.net/index.php?view=list	1		Ethereum	ETH	3.66	"110,916"	"246,895"	491.007	"48,328,165,329"	"357,811"
1522070254-352	http://socoin.app2web.net/index.php?view=list	2		Litecoin	LTC	3.57	"83,814"	"240,512"	152.302	"8,498,163,081"	"324,326"
1522070254-344	http://socoin.app2web.net/index.php?view=list	3		Ripple	XRP	3.52	"56,157"	"323,729"	0.6006	"23,479,992,916"	"379,886"
1522070254-325	http://socoin.app2web.net/index.php?view=list	4		BitCoin	BTC	3.4	"81,961"	"139,377"	"8,180.92"	"138,588,973,431"	"221,338"
1522070254-345	http://socoin.app2web.net/index.php?view=list	5		Dogecoin	DOGE	3.38	"61,572"	"173,885"	0.0033	"377,979,646"	"235,457"
1522070254-340	http://socoin.app2web.net/index.php?view=list	6		Dash	DASH	3.17	"32,952"	"164,694"	389.845	"3,106,492,208"	"197,646"
1522070254-318	http://socoin.app2web.net/index.php?view=list	7		Waves	WAVES	3.1	"60,186"	"65,786"	4.419	"441,897,000"	"125,972"
1522070254-361	http://socoin.app2web.net/index.php?view=list	8		Lisk	LSK	2.96	"22,773"	"112,203"	10.929	"1,128,103,115"	"134,976"
1522070254-329	http://socoin.app2web.net/index.php?view=list	9		Monero	XMR	2.95	"16,586"	"154,120"	196.005	"3,109,780,369"	"170,706"
1522070254-314	http://socoin.app2web.net/index.php?view=list	10		TenX	PAY	2.9	"23,858"	"82,093"	1.2011	"125,704,513"	"105,951"
1522070254-312	http://socoin.app2web.net/index.php?view=list	11		NEM	XEM	2.77	"12,908"	"101,255"	0.2686	"2,417,463,000"	"114,163"
1522070254-359	http://socoin.app2web.net/index.php?view=list	12		Augur	REP	2.76	"16,517"	"71,570"	32.5695	"358,264,500"	"88,087"
1522070254-341	http://socoin.app2web.net/index.php?view=list	13		Nxt	NXT	2.73	"20,049"	"51,283"	0.1337	"133,586,272"	"71,332"
1522070254-319	http://socoin.app2web.net/index.php?view=list	14		DigiByte	DGB	2.7	"12,822"	"75,950"	0.0223	"223,174,681"	"88,772"
1522070254-354	http://socoin.app2web.net/index.php?view=list	15		ReddCoin	RDD	2.68	"16,911"	"51,377"	0.0047	"136,771,436"	"68,288"
1522070254-365	http://socoin.app2web.net/index.php?view=list	16		Golem	GNT	2.61	"8,847"	"79,935"	0.2331	"194,453,958"	"88,782"
1522070254-328	http://socoin.app2web.net/index.php?view=list	17		Stellar Lumens	XLM	2.6	"9,553"	"72,095"	0.2268	"4,207,048,420"	"81,648"
1522070254-362	http://socoin.app2web.net/index.php?view=list	18		Verge	XVG	2.55	"9,752"	"54,742"	0.0364	"537,565,280"	"64,494"
1522070254-315	http://socoin.app2web.net/index.php?view=list	19		Qtum	QTUM	2.53	"7,833"	"67,981"	16.3596	"1,447,443,552"	"75,814"
1522070254-339	http://socoin.app2web.net/index.php?view=list	20		Stratis	STRAT	2.53	"6,401"	"86,084"	4.8881	"482,903,406"	"92,485"
1522070254-335	http://socoin.app2web.net/index.php?view=list	21		BitShares	BTS	2.53	"10,794"	"45,620"	0.1521	"397,273,032"	"56,414"
1522070254-363	http://socoin.app2web.net/index.php?view=list	22		IOTA	MIOTA	2.5	"7,724"	"58,477"	1.2257	"3,406,786,882"	"66,201"
1522070254-324	http://socoin.app2web.net/index.php?view=list	23		Status	SNT	2.45	"7,270"	"52,231"	0.0921	"319,530,913"	"59,501"
1522070254-351	http://socoin.app2web.net/index.php?view=list	24		Storj	STORJ	2.44	"6,420"	"57,289"	0.7535	"100,533,574"	"63,709"
1522070254-342	http://socoin.app2web.net/index.php?view=list	25		Ethereum Classic	ETC	2.43	"3,739"	"111,019"	16.5192	"1,664,545,790"	"114,758"
1522070254-330	http://socoin.app2web.net/index.php?view=list	26		Peerplays	PPY	2.41	"140,758"	"2,999"	16.5192	"1,664,545,790"	"143,757"
1522070254-313	http://socoin.app2web.net/index.php?view=list	27		PIVX	PIVX	2.4	"7,934"	"36,406"	3.8426	"214,598,496"	"44,340"
1522070254-332	http://socoin.app2web.net/index.php?view=list	28		Zcash	ZEC	2.4	"6,482"	"47,733"	226.731	"807,926,160"	"54,215"
1522070254-357	http://socoin.app2web.net/index.php?view=list	29		Iconomi	ICN	2.39	"7,605"	"36,968"	1.0218	"101,905,935"	"44,573"
1522070254-358	http://socoin.app2web.net/index.php?view=list	30		Factom	FCT	2.36	"4,835"	"58,154"	23.9883	"209,780,130"	"62,989"
1522070254-333	http://socoin.app2web.net/index.php?view=list	31		Ark	ARK	2.35	"6,457"	"37,513"	2.636	"267,512,222"	"43,970"
1522070254-323	http://socoin.app2web.net/index.php?view=list	32		SysCoin	SYS	2.35	"5,373"	"48,589"	0.3421	"181,927,832"	"53,962"
1522070254-350	http://socoin.app2web.net/index.php?view=list	33		DECENT	DCT	2.33	"8,995"	"23,777"	0.3421	"181,927,832"	"32,772"
1522070254-334	http://socoin.app2web.net/index.php?view=list	34		EOS	EOS	2.32	"4,568"	"50,872"	6.002	"4,516,537,183"	"55,440"
1522070254-326	http://socoin.app2web.net/index.php?view=list	35		Komodo	KMD	2.18	"3,126"	"43,387"	2.8647	"298,014,297"	"46,513"
1522070254-321	http://socoin.app2web.net/index.php?view=list	36		Gnosis	GNO	2.17	"3,078"	"42,371"	2.8647	"298,014,297"	"45,449"
1522070254-331	http://socoin.app2web.net/index.php?view=list	37		Bancor	BNT	2.15	"3,010"	"38,517"	2.7606	"112,353,606"	"41,527"
1522070254-366	http://socoin.app2web.net/index.php?view=list	38		MaidSafeCoin	MAID	2.13	"2,523"	"44,493"	0.2785	"126,053,496"	"47,016"
1522070254-320	http://socoin.app2web.net/index.php?view=list	39		Peercoin	PPC	2.12	"3,509"	"27,679"	0.2785	"126,053,496"	"31,188"
1522070254-346	http://socoin.app2web.net/index.php?view=list	40		SingularDTV	SNGLS	2.1	"5,397"	"15,404"	0.2785	"126,053,496"	"20,801"
1522070254-317	http://socoin.app2web.net/index.php?view=list	41		Edgeless	EDG	2.06	"2,905"	"25,732"	0.2785	"126,053,496"	"28,637"
1522070254-348	http://socoin.app2web.net/index.php?view=list	42		Decred	DCR	2.01	"2,280"	"28,008"	48.6366	"340,794,402"	"30,288"
1522070254-356	http://socoin.app2web.net/index.php?view=list	43		Siacoin	SC	1.97	"1,190"	"56,541"	0.014	"466,456,135"	"57,731"
1522070254-327	http://socoin.app2web.net/index.php?view=list	44		LEOcoin	LEO	1.95	"10,772"	"3,846"	0.014	"466,456,135"	"14,618"
1522070254-316	http://socoin.app2web.net/index.php?view=list	45		Nexus	NXS	1.94	"3,447"	"12,029"	0.014	"466,456,135"	"15,476"
1522070254-360	http://socoin.app2web.net/index.php?view=list	46		Ardor	ARDR	1.94	"1,431"	"37,527"	0.2613	"261,068,538"	"38,958"
1522070254-336	http://socoin.app2web.net/index.php?view=list	47		Gulden	NLG	1.91	"5,001"	"6,772"	0.2613	"261,068,538"	"11,773"
1522070254-355	http://socoin.app2web.net/index.php?view=list	48		Steem	STEEM	1.89	"17,404"	"1,999"	1.8141	"462,014,282"	"19,403"
1522070254-311	http://socoin.app2web.net/index.php?view=list	49		BitcoinDark	BTCD	1.68	782	"20,702"	1.8141	"462,014,282"	"21,484"
1522070254-349	http://socoin.app2web.net/index.php?view=list	50		Bytecoin	BCN	1.65	"1,999"	"5,175"	0.0025	"454,882,636"	"7,174"
1522070254-338	http://socoin.app2web.net/index.php?view=list	51		Tether	USDT	1.61	900	"10,821"	1.0061	"2,301,046,630"	"11,721"
1522070254-353	http://socoin.app2web.net/index.php?view=list	52		Byteball	GBYTE	1.51	616	"10,199"	189.646	"122,363,781"	"10,815"
1522070254-347	http://socoin.app2web.net/index.php?view=list	53		Lykke	LKK	1.49	926	"5,272"	189.646	"122,363,781"	"6,198"
1522070254-364	http://socoin.app2web.net/index.php?view=list	54		Humaniq	HMQ	1.39	"12,603"	325	189.646	"122,363,781"	"12,928"
1522070254-322	http://socoin.app2web.net/index.php?view=list	55		Basic Attention Token	BAT	1.3	121	"41,679"	0.1969	"196,858,000"	"41,800"
1522070254-343	http://socoin.app2web.net/index.php?view=list	56		MobileGo	MGO	1.02	"1,070"	318	0.1969	"196,858,000"	"1,388"
